date,store_nbr,item_nbr,type,cluster,state,family,class,perishable,store_type,family_encoded,state_encoded,unit_sales
2013-01-05,9,103501,B,6,Pichincha,CLEANING,3008,0,1,3,1,5.0
2013-01-05,9,103520,B,6,Pichincha,GROCERY I,1028,0,1,1,1,4.0
2013-01-05,9,103665,B,6,Pichincha,BREAD/BAKERY,2712,1,1,0,1,2.0
2013-01-05,9,105576,B,6,Pichincha,GROCERY I,1045,0,1,1,1,23.0
2013-01-05,9,105693,B,6,Pichincha,GROCERY I,1034,0,1,1,1,3.0
2013-01-05,9,105857,B,6,Pichincha,GROCERY I,1092,0,1,1,1,5.0
2013-01-05,9,106716,B,6,Pichincha,GROCERY I,1032,0,1,1,1,43.0
2013-01-05,9,108079,B,6,Pichincha,GROCERY I,1030,0,1,1,1,1.0
2013-01-05,9,108696,B,6,Pichincha,DELI,2636,1,1,2,1,13.0
2013-01-05,9,108698,B,6,Pichincha,DELI,2644,1,1,2,1,3.0
2013-01-05,9,108701,B,6,Pichincha,DELI,2644,1,1,2,1,17.0
2013-01-05,9,108786,B,6,Pichincha,CLEANING,3044,0,1,3,1,38.0
2013-01-05,9,108797,B,6,Pichincha,GROCERY I,1004,0,1,1,1,11.0
2013-01-05,9,108833,B,6,Pichincha,EGGS,2502,1,1,7,1,5.0
2013-01-05,9,108952,B,6,Pichincha,CLEANING,3024,0,1,3,1,4.0
2013-01-05,9,111223,B,6,Pichincha,GROCERY I,1034,0,1,1,1,48.0
2013-01-05,9,112830,B,6,Pichincha,GROCERY I,1044,0,1,1,1,10.0
2013-01-05,9,114778,B,6,Pichincha,GROCERY I,1016,0,1,1,1,1.0
2013-01-05,9,114790,B,6,Pichincha,GROCERY I,1004,0,1,1,1,12.0
2013-01-05,9,114799,B,6,Pichincha,PERSONAL CARE,4126,0,1,4,1,7.0
2013-01-05,9,115267,B,6,Pichincha,CLEANING,3034,0,1,3,1,20.0
2013-01-05,9,115611,B,6,Pichincha,GROCERY I,1014,0,1,1,1,40.0
2013-01-05,9,115693,B,6,Pichincha,GROCERY I,1040,0,1,1,1,2.0
2013-01-05,9,115720,B,6,Pichincha,GROCERY I,1084,0,1,1,1,13.0
2013-01-05,9,115850,B,6,Pichincha,GROCERY I,1004,0,1,1,1,52.0
2013-01-05,9,115891,B,6,Pichincha,GROCERY I,1016,0,1,1,1,4.0
2013-01-05,9,115892,B,6,Pichincha,GROCERY I,1016,0,1,1,1,10.0
2013-01-05,9,115893,B,6,Pichincha,GROCERY I,1016,0,1,1,1,17.0
2013-01-05,9,115894,B,6,Pichincha,GROCERY I,1016,0,1,1,1,40.0
2013-01-05,9,116017,B,6,Pichincha,GROCERY I,1072,0,1,1,1,41.0
2013-01-05,9,116018,B,6,Pichincha,GROCERY I,1072,0,1,1,1,7.0
2013-01-05,9,116279,B,6,Pichincha,GROCERY I,1056,0,1,1,1,3.0
2013-01-05,9,116311,B,6,Pichincha,CLEANING,3090,0,1,3,1,2.0
2013-01-05,9,119023,B,6,Pichincha,CLEANING,3026,0,1,3,1,3.0
2013-01-05,9,119024,B,6,Pichincha,CLEANING,3026,0,1,3,1,9.0
2013-01-05,9,119141,B,6,Pichincha,GROCERY I,1042,0,1,1,1,7.0
2013-01-05,9,119187,B,6,Pichincha,CLEANING,3044,0,1,3,1,14.0
2013-01-05,9,119193,B,6,Pichincha,CLEANING,3044,0,1,3,1,4.0
2013-01-05,9,119624,B,6,Pichincha,BEVERAGES,1122,0,1,5,1,25.0
2013-01-05,9,121964,B,6,Pichincha,AUTOMOTIVE,6810,0,1,17,1,1.0
2013-01-05,9,122095,B,6,Pichincha,DAIRY,2124,1,1,6,1,3.0
2013-01-05,9,122419,B,6,Pichincha,GROCERY I,1004,0,1,1,1,7.0
2013-01-05,9,122425,B,6,Pichincha,CLEANING,3020,0,1,3,1,7.0
2013-01-05,9,123347,B,6,Pichincha,DAIRY,2114,1,1,6,1,2.0
2013-01-05,9,123601,B,6,Pichincha,GROCERY I,1072,0,1,1,1,7.0
2013-01-05,9,125430,B,6,Pichincha,GROCERY I,1016,0,1,1,1,25.0
2013-01-05,9,127534,B,6,Pichincha,GROCERY I,1032,0,1,1,1,3.0
2013-01-05,9,127547,B,6,Pichincha,EGGS,2502,1,1,7,1,3.0
2013-01-05,9,129296,B,6,Pichincha,GROCERY I,1032,0,1,1,1,13.0
2013-01-05,9,129297,B,6,Pichincha,GROCERY I,1032,0,1,1,1,5.0
2013-01-05,9,129635,B,6,Pichincha,DAIRY,2112,1,1,6,1,10.0
2013-01-05,9,129759,B,6,Pichincha,GROCERY I,1032,0,1,1,1,11.0
2013-01-05,9,153239,B,6,Pichincha,BREAD/BAKERY,2712,1,1,0,1,2.0
2013-01-05,9,153267,B,6,Pichincha,GROCERY I,1096,0,1,1,1,24.0
2013-01-05,9,153395,B,6,Pichincha,BREAD/BAKERY,2704,1,1,0,1,3.0
2013-01-05,9,153398,B,6,Pichincha,BREAD/BAKERY,2708,1,1,0,1,3.0
2013-01-05,9,155499,B,6,Pichincha,GROCERY I,1013,0,1,1,1,7.0
2013-01-05,9,155500,B,6,Pichincha,GROCERY I,1014,0,1,1,1,48.0
2013-01-05,9,155607,B,6,Pichincha,GROCERY I,1034,0,1,1,1,3.0
2013-01-05,9,155610,B,6,Pichincha,GROCERY I,1034,0,1,1,1,12.0
2013-01-05,9,155621,B,6,Pichincha,GROCERY I,1062,0,1,1,1,2.0
2013-01-05,9,155625,B,6,Pichincha,GROCERY I,1092,0,1,1,1,2.0
2013-01-05,9,157956,B,6,Pichincha,GROCERY I,1030,0,1,1,1,6.0
2013-01-05,9,158680,B,6,Pichincha,EGGS,2502,1,1,7,1,2.0
2013-01-05,9,158788,B,6,Pichincha,CLEANING,3044,0,1,3,1,6.0
2013-01-05,9,158875,B,6,Pichincha,GROCERY I,1026,0,1,1,1,5.0
2013-01-05,9,158956,B,6,Pichincha,CLEANING,3038,0,1,3,1,28.0
2013-01-05,9,159242,B,6,Pichincha,CLEANING,3026,0,1,3,1,19.0
2013-01-05,9,161288,B,6,Pichincha,GROCERY I,1072,0,1,1,1,3.0
2013-01-05,9,162066,B,6,Pichincha,GROCERY I,1048,0,1,1,1,12.0
2013-01-05,9,164036,B,6,Pichincha,GROCERY I,1048,0,1,1,1,2.0
2013-01-05,9,164037,B,6,Pichincha,GROCERY I,1048,0,1,1,1,4.0
2013-01-05,9,164088,B,6,Pichincha,DAIRY,2116,1,1,6,1,6.0
2013-01-05,9,164647,B,6,Pichincha,CLEANING,3032,0,1,3,1,26.0
2013-01-05,9,165550,B,6,Pichincha,BEVERAGES,1124,0,1,5,1,8.0
2013-01-05,9,165551,B,6,Pichincha,BEVERAGES,1124,0,1,5,1,4.0
2013-01-05,9,165553,B,6,Pichincha,BEVERAGES,1124,0,1,5,1,1.0
2013-01-05,9,165594,B,6,Pichincha,GROCERY I,1014,0,1,1,1,32.0
2013-01-05,9,165704,B,6,Pichincha,GROCERY I,1016,0,1,1,1,2.0
2013-01-05,9,165705,B,6,Pichincha,GROCERY I,1016,0,1,1,1,7.0
2013-01-05,9,165718,B,6,Pichincha,BREAD/BAKERY,2718,1,1,0,1,15.0
2013-01-05,9,165988,B,6,Pichincha,GROCERY I,1072,0,1,1,1,21.0
2013-01-05,9,168931,B,6,Pichincha,CLEANING,3026,0,1,3,1,10.0
2013-01-05,9,168989,B,6,Pichincha,GROCERY I,1028,0,1,1,1,9.0
2013-01-05,9,169028,B,6,Pichincha,GROCERY I,1040,0,1,1,1,2.0
2013-01-05,9,171890,B,6,Pichincha,CLEANING,3004,0,1,3,1,1.0
2013-01-05,9,172184,B,6,Pichincha,GROCERY I,1058,0,1,1,1,15.0
2013-01-05,9,172343,B,6,Pichincha,GROCERY I,1004,0,1,1,1,25.0
2013-01-05,9,173113,B,6,Pichincha,DAIRY,2114,1,1,6,1,1.0
2013-01-05,9,174081,B,6,Pichincha,BEVERAGES,1136,0,1,5,1,6.0
2013-01-05,9,176411,B,6,Pichincha,CLEANING,3016,0,1,3,1,1.0
2013-01-05,9,179615,B,6,Pichincha,DAIRY,2112,1,1,6,1,3.0
2013-01-05,9,205381,B,6,Pichincha,GROCERY I,1034,0,1,1,1,4.0
2013-01-05,9,205387,B,6,Pichincha,GROCERY I,1034,0,1,1,1,25.0
2013-01-05,9,205486,B,6,Pichincha,DAIRY,2124,1,1,6,1,1.0
2013-01-05,9,205557,B,6,Pichincha,GROCERY I,1062,0,1,1,1,1.0
